game_id,play_id,nfl_id,engaged_player_count,close_player_count,max_engaged,max_close,longest_engaged,longest_close,per_frames_engaged,per_frames_close,display_name,avg_speed,min_speed,max_speed,min_acceleration,avg_acceleration,max_acceleration,quickest_slowdown,total_distance,home,jersey_number,position.x,pivots_total,high_acceleration_pivots_total,high_speed_pivots_total,high_speed_frames,double_moves,lateral_distance,starting_x,starting_y,sideline_to_sideline,cross_lateral_midfield,abbr_name,injured,season,week,game_date,game_time_eastern,home_team_abbr,visitor_team_abbr,height,weight,birth_date,college_name,position.y,snap_detail,snap_time,operation_time,hang_time,kick_type,kick_direction_intended,kick_direction_actual,return_direction_intended,return_direction_actual,missed_tackler,assist_tackler,tackler,kickoff_return_formation,gunners,punt_rushers,special_teams_safeties,vises,kick_contact_type,play_description,quarter,down,yards_to_go,possession_team,special_teams_play_type,special_teams_result,kicker_id,returner_id,kick_blocker_id,yardline_side,yardline_number,game_clock,penalty_codes,penalty_jersey_numbers,penalty_yards,pre_snap_home_score,pre_snap_visitor_score,pass_result,kick_length,kick_return_yardage,play_result,absolute_yardline_number,kick_intended_achieved,return_intended_achieved,above_average_snap_time,above_average_operation_time,penalty_on_play,home_team_pt_dif,kick_returned,team_name,player_team,is_gunner,is_punt_rusher,is_special_teams_safety,is_missed_tackler,is_assist_tackler,is_tackler,is_vises,is_returner,called_for_penalty,season_quarter,game_time_slot
2018090600,366,42450,1,4,1,3,3,26,0.0234375,0.2578125,Justin Hardy,3.206171875,0.45,6.18,0.08,2.13875,5.72,NA,40.68,away,14,WR,1,0,0,34,0,27.849999999999998,68.11,27.17,0,0,NA,0,2018,1,09/06/2018,20:20:00,PHI,ATL,5-10,192,1991-12-18,East Carolina,WR,OK,0.84,2.12,4.46,N,C,C,C,R,PHI 57,NA,PHI 54,NA,PHI 18; PHI 29,NA,NA,ATL 83; ATL 27; ATL 34; ATL 21,CC,"(9:20) C.Johnston punts 56 yards to ATL 36, Center-R.Lovato. J.Hardy to ATL 41 for 5 yards (K.Grugier-Hill). PENALTY on PHI-S.Gibson, Unsportsmanlike Conduct, 15 yards, enforced at ATL 41.",1,4,4,PHI,Punt,Return,45603,42450,NA,PHI,8,09:20:00,UNSd,PHI 18,-15,0,0,NA,56,5,36,18,1,1,0,0,1,0,1,ATL,ATL 14,0,0,0,0,0,0,0,1,0,First,Night
2018090600,677,44979,3,10,2,7,19,46,0.19548872180451127,0.39849624060150374,Shelton Gibson,3.5721052631578947,0.2,8.13,0.22,2.4461654135338344,7.17,NA,47.36,home,18,WR,2,0,0,38,0,13.240000000000002,9.36,29.43,0,1,NA,0,2018,1,09/06/2018,20:20:00,PHI,ATL,5-11,191,1995-03-20,West Virginia,WR,NA,NA,NA,4.06,D,R,R,C,C,ATL 83,ATL 22,ATL 27,8-0-2,NA,NA,ATL 17; ATL 22,NA,NA,"M.Bosher kicks 64 yards from ATL 35 to PHI 1. S.Gibson to PHI 31 for 30 yards (D.Kazee, D.Riley).",1,0,0,ATL,Kickoff,Return,37267,44979,NA,ATL,35,05:01:00,NA,NA,NA,0,3,NA,64,30,34,75,1,1,0,0,0,-3,1,PHI,PHI 18,0,0,0,0,0,0,0,1,0,First,Night
2018090600,1606,44979,3,5,2,4,9,41,0.09923664122137404,0.32061068702290074,Shelton Gibson,3.3783206106870227,0.17,7.84,0.13,2.839389312977099,7.74,NA,43.96,home,18,WR,5,2,2,31,0,13.629999999999999,110.37,28.24,0,1,NA,0,2018,1,09/06/2018,20:20:00,PHI,ATL,5-11,191,1995-03-20,West Virginia,WR,NA,NA,NA,3.63,D,C,C,C,R,NA,NA,ATL 36,8-0-2,NA,NA,ATL 14; ATL 17,NA,NA,"M.Bosher kicks 68 yards from ATL 35 to PHI -3. S.Gibson to PHI 10 for 13 yards (K.Ishmael). PENALTY on PHI-A.Maddox, Offensive Holding, 5 yards, enforced at PHI 10.",2,0,0,ATL,Kickoff,Return,37267,44979,NA,ATL,35,02:08:00,OH,PHI 29,5,3,6,NA,68,13,60,45,1,1,0,0,1,-3,1,PHI,PHI 18,0,0,0,0,0,0,0,1,0,First,Night
2018090600,1989,29957,3,6,2,6,11,23,0.09523809523809523,0.2619047619047619,Darren Sproles,2.0934126984126986,0.15,5.62,0.01,2.0163492063492066,6.4,NA,26.06,home,43,RB,2,0,0,8,0,9.629999999999995,85.16,28.53,0,1,NA,0,2018,1,09/06/2018,20:20:00,PHI,ATL,66,190,1983-06-20,Kansas State,RB,OK,0.76,2.12,4.62,N,C,C,C,C,ATL 83,NA,ATL 34,NA,ATL 83; ATL 28,NA,NA,PHI 29; PHI 37; PHI 32,CC,"(:44) M.Bosher punts 57 yards to PHI 17, Center-J.Overbaugh. D.Sproles to PHI 25 for 8 yards (B.Poole). PENALTY on PHI-L.Reynolds, Unnecessary Roughness, 12 yards, enforced at PHI 25.",2,4,8,ATL,Punt,Return,37267,29957,NA,ATL,26,00:44:00,UNR,PHI 50,12,3,6,NA,57,8,61,36,1,1,0,0,1,-3,1,PHI,PHI 43,0,0,0,0,0,0,0,1,0,First,Night
2018090600,2599,29957,2,8,1,4,2,18,0.024793388429752067,0.2892561983471074,Darren Sproles,2.579917355371901,0.03,5.66,0.02,1.9591735537190083,4.97,NA,31.16,home,43,RB,2,0,0,11,0,12.489999999999998,81.6,29.59,0,1,NA,0,2018,1,09/06/2018,20:20:00,PHI,ATL,66,190,1983-06-20,Kansas State,RB,OK,0.86,2.35,4.16,N,L,L,C,C,ATL 85,NA,ATL 54,NA,ATL 83; ATL 28,PHI 57,NA,PHI 29; PHI 37; PHI 32,CC,"(10:22) M.Bosher punts 46 yards to PHI 28, Center-J.Overbaugh. D.Sproles to PHI 37 for 9 yards (F.Oluokun).",3,4,16,ATL,Punt,Return,37267,29957,NA,ATL,26,10:22:00,NA,NA,NA,3,6,NA,46,9,37,36,1,1,0,0,0,-3,1,PHI,PHI 43,0,0,0,0,0,0,0,1,0,First,Night
2018090600,3868,29957,4,8,1,5,4,22,0.08088235294117647,0.3014705882352941,Darren Sproles,2.293455882352941,0.01,6.51,0.01,1.76625,5.09,NA,31.03,home,43,RB,3,0,0,24,0,14.860000000000003,35.13,28.2,0,0,NA,0,2018,1,09/06/2018,20:20:00,PHI,ATL,66,190,1983-06-20,Kansas State,RB,OK,0.65,2.09,4.4,N,C,C,C,R,ATL 17,NA,ATL 85,NA,ATL 17; ATL 28,PHI 18; PHI 28; PHI 30; PHI 37; PHI 54; PHI 57,NA,PHI 29; PHI 32,CC,"(5:04) M.Bosher punts 52 yards to PHI 19, Center-J.Overbaugh. D.Sproles to PHI 31 for 12 yards (E.Saubert; K.Ishmael). PENALTY on ATL-E.Saubert, Face Mask (15 Yards), 15 yards, enforced at PHI 31.",4,4,14,ATL,Punt,Return,37267,29957,NA,ATL,29,05:04:00,FMM,ATL 85,-15,10,12,NA,52,12,25,81,1,1,0,0,1,-2,1,PHI,PHI 43,0,0,0,0,0,0,0,1,0,First,Night
2018090900,36,46532,2,6,1,5,6,31,0.058823529411764705,0.2773109243697479,Janarion Grant,3.7836974789915967,0.09,7.92,0.1,2.5591596638655463,9.39,NA,46.31,home,84,WR,1,0,0,41,0,25.22,7.19,31.03,0,1,NA,0,2018,1,09/09/2018,13:00:00,BAL,BUF,5-10,173,11/20/1993,Rutgers,WR,NA,NA,NA,3.83,D,C,C,L,L,NA,NA,BUF 50,8-0-2,NA,NA,BUF 24; BUF 30,NA,NA,"S.Hauschka kicks 69 yards from BUF 35 to BAL -4. J.Grant to BAL 20 for 24 yards (L.Pitts). Penalty on BAL-J.Allen, Unnecessary Roughness, offsetting, enforced at BAL 20. Penalty on BUF-L.Pitts, Face Mask (15 Yards), offsetting.",1,0,0,BUF,Kickoff,Return,33469,46532,NA,BUF,35,15:00:00,UNR;FMM,BAL 37;BUF 30,0,0,0,NA,69,24,45,75,1,1,0,0,1,0,1,BAL,BAL 84,0,0,0,0,0,0,0,1,0,First,Early
2018090900,400,42573,1,7,1,6,2,25,0.01904761904761905,0.2571428571428571,Marcus Murphy,3.8786666666666667,0.04,8.4,0.41,1.797047619047619,5.38,NA,40.67,away,45,RB,2,0,0,34,0,11.93,110.07,25.6,0,0,NA,0,2018,1,09/09/2018,13:00:00,BAL,BUF,69,195,1991-10-03,Missouri,RB,NA,NA,NA,4.21,D,C,C,C,C,NA,NA,BAL 49,8-0-2,NA,NA,BAL 25; BAL 26,NA,NA,J.Tucker kicks 61 yards from BAL 35 to BUF 4. M.Murphy to BUF 32 for 28 yards (C.Board).,1,0,0,BAL,Kickoff,Return,39470,42573,NA,BAL,35,08:42:00,NA,NA,NA,7,0,NA,61,28,33,45,1,1,0,0,0,7,1,BUF,BUF 45,0,0,0,0,0,0,0,1,0,First,Early
2018090900,485,46532,2,10,1,9,10,41,0.1,0.39285714285714285,Janarion Grant,1.9212857142857143,0,4.93,0,1.7417142857142858,6.43,NA,26.74,home,84,WR,3,0,0,0,0,15.86,36.86,30.98,0,1,NA,0,2018,1,09/09/2018,13:00:00,BAL,BUF,5-10,173,11/20/1993,Rutgers,WR,OK,0.8,2.11,4.34,N,C,R,L,L,NA,BUF 57,BUF 42,NA,BUF 30; BUF 26,NA,NA,BAL 36; BAL 29; BAL 26,CC,"(7:25) (Punt formation) C.Bojorquez punts 46 yards to BAL 26, Center-R.Ferguson. J.Grant to BAL 25 for -1 yards (P.DiMarco).",1,4,14,BUF,Punt,Return,46903,46532,NA,BUF,28,07:25:00,NA,NA,NA,7,0,NA,46,-1,47,82,1,1,0,0,0,7,1,BAL,BAL 84,0,0,0,0,0,0,0,1,0,First,Early
2018090900,575,37228,3,6,2,6,11,35,0.14893617021276595,0.2553191489361702,Jeremy Kerley,3.3024113475177304,0.13,8.16,0.03,2.2927659574468087,8.36,NA,46.92,away,10,WR,2,1,1,38,0,23.409999999999997,80.74,30.78,0,1,NA,0,2018,1,09/09/2018,13:00:00,BAL,BUF,5-9,188,11/08/1988,Texas Christian,WR,OK,0.8,2.15,4.2,A,L,L,R,R,NA,NA,BAL 54,NA,BAL 26; BAL 10,NA,NA,BUF 29; BUF 30; BUF 26,CFFG,"(6:37) (Punt formation) S.Koch punts 63 yards to BUF 11, Center-M.Cox. J.Kerley to BUF 15 for 4 yards (T.Bowser, C.Clark).",1,4,9,BAL,Punt,Return,31018,37228,NA,BAL,26,06:37:00,NA,NA,NA,7,0,NA,63,4,59,36,1,1,0,0,0,7,1,BUF,BUF 10,0,0,0,0,0,0,0,1,0,First,Early
