nflId,displayName,gameId,playId,abbr_name
46325,Trey Quinn,2018090909,2247,T.Quinn
39750,Andrew DePaola,2018091001,499,A.DePaola
43406,Pharoh Cooper,2018091001,2840,P.Cooper
44999,Chuck Clark,2018091300,3100,C.Clark
37200,Taiwan Jones,2018091601,2485,T.Jones
43468,Drew Kaser,2018092310,1513,D.Kaser
39670,Brian Peters,2018093004,1507,B.Peters
46113,Dante Pettis,2018093010,212,D.Pettis
43475,Jakeem Grant,2018100702,36,J.Grant
40579,Ray-Ray Armstrong,2018101100,2451,R.Armstrong
39119,Rod Streater,2018101402,178,R.Streater
44003,Marcus Johnson,2018101406,4165,M.Johnson
46164,Tarvarius Moore,2018101500,955,T.Moore
46182,DaeSean Hamilton,2018101800,1346,D.Hamilton
45317,Donald Payne,2018102104,1108,D.Payne
45064,Mason Schreck,2018102105,3594,M.Schreck
46325,Trey Quinn,2018090909,2247,T.Quinn
39750,Andrew DePaola,2018091001,499,A.DePaola
43406,Pharoh Cooper,2018091001,2840,P.Cooper
44999,Chuck Clark,2018091300,3100,C.Clark
37200,Taiwan Jones,2018091601,2485,T.Jones
43468,Drew Kaser,2018092310,1513,D.Kaser
39670,Brian Peters,2018093004,1507,B.Peters
46113,Dante Pettis,2018093010,212,D.Pettis
43475,Jakeem Grant,2018100702,36,J.Grant
40579,Ray-Ray Armstrong,2018101100,2451,R.Armstrong
39119,Rod Streater,2018101402,178,R.Streater
44003,Marcus Johnson,2018101406,4165,M.Johnson
46164,Tarvarius Moore,2018101500,955,T.Moore
46182,DaeSean Hamilton,2018101800,1346,D.Hamilton
45317,Donald Payne,2018102104,1108,D.Payne
45064,Mason Schreck,2018102105,3594,M.Schreck
43817,Doug Middleton,2018102107,1817,D.Middleton
42512,David Mayo,2018102108,3257,D.Mayo
44985,Isaiah McKenzie,2018102805,3622,I.McKenzie
41916,Kapri Bibbs,2018102806,219,K.Bibbs
44068,Lucas Patrick,2018111103,795,L.Patrick
44848,Budda Baker,2018111105,527,B.Baker
38643,Kyle Wilber,2018111109,3078,K.Wilber
37251,Dwayne Harris,2018111807,3083,D.Harris
46181,Mark Walton,2018120909,1867,M.Walton
38578,Tavon Wilson,2018120911,1750,T.Wilson
48027,Kaden Elliss,2019092211,1455,K.Elliss
46271,Jack Cichy,2019092909,5093,J.Cichy
41471,Corey Nelson,2019092911,1301,C.Nelson
46233,Natrell Jamerson,2019100600,1749,N.Jamerson
48415,Deonte Harris,2019100603,849,D.Harris
46299,Leon Jacobs,2019102002,4450,L.Jacobs
46312,Keion Crossen,2019102005,3926,K.Crossen
46377,Jeff Wilson,2019102709,3474,J.Wilson
44946,Ryan Switzer,2019102800,990,R.Switzer
46221,Dane Cruikshank,2019110302,3467,D.Cruikshank
42437,Ty Montgomery,2019110304,477,T.Montgomery
40191,Kemal Ishmael,2019111004,4298,K.Ishmael
48268,Azeez Al-Shaair,2019111100,2095,A.Al-Shaair
46457,Ola Adeniyi,2019111400,129,O.Adeniyi
47849,Diontae Johnson,2019111400,1064,D.Johnson
44978,Jamal Agnew,2019111702,3758,J.Agnew
45643,Dylan Cole,2019112100,1685,D.Cole
35583,Sherrick McManis,2019112402,1632,S.McManis
45217,Cethan Carter,2019112403,926,C.Carter
43475,Jakeem Grant,2019112404,1034,J.Grant
37792,Nick Bellore,2019112411,2270,N.Bellore
48207,Khari Blasingame,2019120103,3618,K.Blasingame
43062,Nick Dzubnar,2019120109,3716,N.Dzubnar
46958,Chris Board,2019120801,573,C.Board
46213,Justin Watson,2019120808,220,J.Watson
47799,Brian Burns,2019122207,3322,B.Burns
46120,Anthony Miller,2019122909,1014,A.Miller
43645,Jarrod Wilson,2020091305,3555,J.Wilson
42437,Ty Montgomery,2020091310,2304,T.Montgomery
46290,Matthew Adams,2020092003,1265,M.Adams
47931,Dre Greenlaw,2020092005,3055,D.Greenlaw
